"name","x","y","endX","endY","area","identifier"
"Nico Schulz","54.2","92.3","46.7","77.9","848.505","0"
"Lukasz Piszczek","40.2","15.8","41.8","22.8","878.345","0"
"Paco Alc<e1>cer","65.95","50.9","46.1","32.8","1295.05","0"
"Marco Reus","66.3","48.1","53.15","21.4","2185.015","0"
"Julian Weigl","44.3","39.5","44.5","37.7","1372.22","0"
"Jadon Sancho","67.4","60.3","59.4","38.5","2388.195","0"
"Manuel Akanji","34.4","43.15","38.1","45.5","1718.18","0"
"Mats Hummels","33.9","53.3","38.6","48.2","1066.1","0"
"Axel Witsel","48.3","56.4","45.3","47.5","1692.15","0"
"Thorgan Hazard","67.9","54","57.45","26.3","2685.93","0"
"Marwin Hitz","8.2","49.7","23.1","64.2","160.99","0"
"Achraf Hakimi","57","9.85","47.9","15.5","2164.26","0"
"Julian Brandt","57.8","50.6","52","32","2013.445","0"
"Mario G<f6>tze","66.8","57.3","57.6","30","2040.085","0"
"Roman B<fc>rki","8.7","49.3","24.2","45.5","219.56","0"
"Thomas Delaney","42.9","55.8","39.9","43.9","1642.96","0"
"Mahmoud Dahoud","48","56.3","44.35","43.2","1509.285","0"
"Raphael Guerreiro","53","90.5","46.8","76.7","1102.52","0"
"Dan-Axel Zagadou","37.5","75.4","41.85","65.2","771.73","0"
"Leonardo Balerdi","37.4","71.15","39.65","55.2","935.48","0"
"Erling Haaland","66.8","50","45","31","1546.265","0"
"Giovanni Reyna","59.1","63.9","47.2","36.95","2104.4","0"
"Emre Can","45.1","50.7","42.6","42.8","1549.72","0"
"Mateu Morey","46.7","10.05","41","21.3","1399.735","0"
