"name","x","y","endX","endY","area","identifier","pos"
"Enis Bardhi","62.37","48.756","66.465","45.152","1790.50851","0","ML"
"José Campaña","56.28","45.152","62.475","40.8","1771.24122","0","MC"
"Gonzalo Melero","48.72","38.964","52.0275","38.42","1271.4912","0","MC"
"Sergio Postigo","31.7625","29.92","43.68","32.674","1238.55438","0","DC"
"Toño","45.7275","62.764","50.4","56.644","921.5955","1","DL"
"Aleix Vidal","63.945","18.428","67.305","23.868","1913.17014","0","MR"
"Martín Aguirregabiria","45.0975","4.556","56.385","10.132","591.67038","0","DR"
"Rodrigo Ely","33.18","42.568","44.205","40.732","763.79793","0","DC"
"Fernando Pacheco","9.555","33.32","56.595","24.276","180.75624","0","GK"
"Manu García","48.615","33.524","55.23","34.476","1192.05513","0","MC"
"Tomás Pina","46.41","37.434","50.505","36.482","1152.16038","0","MC"
"Mubarak Wakaso","48.8775","40.256","56.175","37.978","1152.20679","0","MC"
"Borja Mayoral","67.62","34.272","68.565","33.524","1427.55018","0","FW"
"Rubén Duarte","46.2","61.2","57.75","55.692","746.37276","1","DL"
"Guillermo Maripán","36.96","40.936","45.2025","37.842","943.62597","0","DC"
"Joselu","63.84","34.068","69.405","33.116","1662.88815","0","FW"
"Aitor Fernández","8.085","33.932","28.98","34.204","150.97887","0","GK"
"Rúben Vezo","31.605","38.862","42.525","37.128","995.33742","0","DC"
"Nikola Vukcevic","43.365","37.128","47.04","37.128","896.65191","0","MC"
"Jorge Miramón","42.4725","5.236","48.3525","12.036","751.85271","0","DR"
"Sergio León","70.665","34.204","71.925","33.184","981.12882","0","Sub"
"Luis Rioja","66.045","59.874","67.6725","56.406","1186.10394","0","Sub"
"Rubén Rochina","58.3275","21.012","64.89","26.044","1359.03831","0","MR"
"Pere Pons","49.14","32.504","50.82","31.076","1171.59546","0","Sub"
"José Luis Morales","73.2375","44.166","75.1275","40.732","1938.15657","0","Sub"
"Roger Martí","67.935","33.694","71.2425","33.422","1530.93024","0","FW"
"Lucas Pérez","72.3975","34.782","78.4875","35.088","1311.88932","0","Sub"
"Unai López","56.595","22.44","57.645","26.588","1181.49864","0","DMC"
"Yeray Álvarez","36.855","20.4","46.935","25.16","893.97084","0","DC"
"Raúl García","62.37","40.392","68.88","36.992","2129.35506","0","AMC"
"Clément Lenglet","38.64","46.784","45.675","42.432","602.71953","0","DC"
"Jordi Alba","59.745","60.18","61.53","53.176","774.70785","1","DL"
"Frenkie de Jong","58.695","37.4","59.955","35.428","1308.21936","0","MC"
"Luis Suárez","73.815","37.366","73.815","35.088","1114.26483","0","FW"
"Gerard Piqué","39.06","23.256","46.725","29.24","672.96642","0","DC"
"Yuri","54.81","62.22","58.275","55.216","731.12529","1","DL"
"Iñaki Williams","72.87","22.1","73.395","24.956","1695.15738","0","FW"
"Unai Núñez","35.385","23.936","45.255","30.124","668.74668","0","DC"
